timestamp,values
2020-12-11,11.97
2020-12-10,12.27
2020-12-09,12.31
2020-12-08,13.24
2020-12-07,12.87
2020-12-04,12.33
2020-12-03,12.83
2020-12-02,11.85
2020-12-01,13.82
2020-11-30,12.23
2020-11-27,10.52
2020-11-25,10.09
2020-11-24,9.25
2020-11-23,9.24
2020-11-20,9.32
2020-11-19,9.57
2020-11-18,9.32
2020-11-17,9.51
2020-11-16,9.42
2020-11-13,10.13
2020-11-12,10.64
2020-11-11,9.98
2020-11-10,9.33
2020-11-09,7.835
2020-11-06,12.45
2020-11-05,12.4
2020-11-04,12.51
2020-11-03,11.65
2020-11-02,11.35
2020-10-30,11.45
2020-10-29,11.43
2020-10-28,11.2
2020-10-27,11.81
2020-10-26,11.81
2020-10-23,12.0
2020-10-22,11.68
2020-10-21,11.05
2020-10-20,11.39
2020-10-19,12.19
2020-10-16,12.97
2020-10-15,13.13
2020-10-14,12.8
2020-10-13,14.22
2020-10-12,12.6
2020-10-09,12.37
2020-10-08,13.3
2020-10-07,13.78
2020-10-06,13.64
2020-10-05,13.87
2020-10-02,12.97
2020-10-01,12.93
2020-09-30,13.2
2020-09-29,13.01
2020-09-28,12.3
2020-09-25,12.92
2020-09-24,12.03
2020-09-23,12.53
2020-09-22,14.35
2020-09-21,13.57
2020-09-18,14.12
2020-09-17,14.02
2020-09-16,13.84
2020-09-15,12.45
2020-09-14,13.24
2020-09-11,12.09
2020-09-10,11.93
2020-09-09,12.54
2020-09-08,12.65
2020-09-04,12.43
2020-09-03,13.41
2020-09-02,14.61
2020-09-01,15.09
2020-08-31,16.87
2020-08-28,17.62
2020-08-27,18.22
2020-08-26,18.42
2020-08-25,21.57
2020-08-24,21.99
2020-08-21,24.04
2020-08-20,26.07
2020-08-19,24.43
2020-08-18,25.76
2020-08-17,26.56
2020-08-14,24.66
2020-08-13,23.7
2020-08-12,22.58
2020-08-11,23.1
2020-08-10,26.095
2020-08-07,27.38
2020-08-06,26.5
2020-08-05,27.16
2020-08-04,28.18
2020-08-03,27.25
2020-07-31,26.58
2020-07-30,26.06
2020-07-29,22.52
2020-07-28,23.6
2020-07-27,22.43
2020-07-24,25.63
2020-07-23,27.65
