timestamp,values
2020-12-11,3.87
2020-12-10,3.94
2020-12-09,3.78
2020-12-08,3.91
2020-12-07,3.72
2020-12-04,3.71
2020-12-03,3.77
2020-12-02,3.97
2020-12-01,3.69
2020-11-30,3.37
2020-11-27,3.57
2020-11-25,3.69
2020-11-24,3.65
2020-11-23,3.6
2020-11-20,3.44
2020-11-19,3.4
2020-11-18,3.42
2020-11-17,3.53
2020-11-16,3.17
2020-11-13,3.02
2020-11-12,3.11
2020-11-11,3.28
2020-11-10,3.43
2020-11-09,2.99
2020-11-06,2.07
2020-11-05,2.08
2020-11-04,1.99
2020-11-03,2.13
2020-11-02,2.06
2020-10-30,1.985
2020-10-29,1.94
2020-10-28,1.9
2020-10-27,1.96
2020-10-26,2.05
2020-10-23,2.25
2020-10-22,2.19
2020-10-21,2.12
2020-10-20,2.135
2020-10-19,2.27
2020-10-16,2.21
2020-10-15,2.23
2020-10-14,2.25
2020-10-13,2.27
2020-10-12,2.49
2020-10-09,2.55
2020-10-08,2.68
2020-10-07,2.59
2020-10-06,2.58
2020-10-05,2.57
2020-10-02,2.81
2020-10-01,2.74
2020-09-30,2.715
2020-09-29,2.53
2020-09-28,2.61
2020-09-25,2.61
2020-09-24,2.61
2020-09-23,2.7
2020-09-22,2.86
2020-09-21,2.92
2020-09-18,3.45
2020-09-17,3.29
2020-09-16,3.495
2020-09-15,3.59
2020-09-14,3.6
2020-09-11,3.42
2020-09-10,3.73
2020-09-09,4.12
2020-09-08,4.06
2020-09-04,4.6
2020-09-03,3.59
2020-09-02,3.6
2020-09-01,3.47
2020-08-31,3.61
2020-08-28,3.6
2020-08-27,3.39
2020-08-26,3.15
2020-08-25,3.28
2020-08-24,3.2
2020-08-21,3.13
2020-08-20,3.15
2020-08-19,3.13
2020-08-18,3.02
2020-08-17,3.16
2020-08-14,3.17
2020-08-13,3.14
2020-08-12,3.23
2020-08-11,3.265
2020-08-10,3.335
2020-08-07,2.97
2020-08-06,2.9
2020-08-05,2.92
2020-08-04,2.86
2020-08-03,2.65
2020-07-31,2.47
2020-07-30,2.59
2020-07-29,2.71
2020-07-28,2.94
2020-07-27,2.91
2020-07-24,2.93
2020-07-23,3.07
